category_name,date,YEARS,MONTHS,Total_value
STRAIGHT BOURBON WHISKIES,2023-03-08,2023,3,257523.89
CANADIAN WHISKIES,2023-07-28,2023,7,257495.19
AMERICAN VODKAS,2021-04-28,2021,4,257477.08
SPICED RUM,2021-12-09,2021,12,257288.4
AMERICAN VODKAS,2023-08-11,2023,8,257132.18
AMERICAN VODKAS,2023-06-16,2023,6,257087.22
AMERICAN VODKAS,2023-01-09,2023,1,256994.86
100% AGAVE TEQUILA,2023-05-03,2023,5,256931.7
AMERICAN VODKAS,2023-08-15,2023,8,256698.67
CANADIAN WHISKIES,2021-10-19,2021,10,256635.38
CANADIAN WHISKIES,2023-10-06,2023,10,256474.08
AMERICAN VODKAS,2023-07-10,2023,7,256202.51
CANADIAN WHISKIES,2023-10-19,2023,10,256086.02
CANADIAN WHISKIES,2022-12-14,2022,12,255603.11
CANADIAN WHISKIES,2021-09-15,2021,9,255543.41
AMERICAN VODKAS,2023-05-17,2023,5,255514.94
AMERICAN VODKAS,2022-12-12,2022,12,255300.0
CANADIAN WHISKIES,2023-05-24,2023,5,255202.02
CANADIAN WHISKIES,2023-05-12,2023,5,254973.83
AMERICAN VODKAS,2023-11-08,2023,11,254686.3
AMERICAN VODKAS,2021-03-05,2021,3,254576.35
CANADIAN WHISKIES,2023-02-24,2023,2,254444.33
CANADIAN WHISKIES,2021-02-19,2021,2,254440.47
IMPORTED BRANDIES,2021-08-24,2021,8,254409.2
CANADIAN WHISKIES,2021-10-07,2021,10,253620.15
AMERICAN VODKAS,2023-05-01,2023,5,253134.56
AMERICAN VODKAS,2021-08-18,2021,8,252814.04
AMERICAN VODKAS,2023-07-28,2023,7,252734.95
AMERICAN VODKAS,2021-05-17,2021,5,251922.08
STRAIGHT BOURBON WHISKIES,2023-02-09,2023,2,251870.94
AMERICAN VODKAS,2022-08-12,2022,8,251408.39
AMERICAN VODKAS,2023-07-12,2023,7,251121.7
AMERICAN VODKAS,2022-12-30,2022,12,251111.4
AMERICAN VODKAS,2021-06-24,2021,6,251109.23
AMERICAN VODKAS,2022-09-02,2022,9,251079.11
AMERICAN VODKAS,2021-05-04,2021,5,251067.08
AMERICAN VODKAS,2021-04-08,2021,4,250984.24
AMERICAN VODKAS,2021-11-04,2021,11,250904.32
AMERICAN VODKAS,2023-12-19,2023,12,250751.04
AMERICAN VODKAS,2023-10-13,2023,10,250149.67
CANADIAN WHISKIES,2021-05-07,2021,5,250083.3
STRAIGHT BOURBON WHISKIES,2022-10-04,2022,10,250018.83
CANADIAN WHISKIES,2021-12-08,2021,12,249898.23
CANADIAN WHISKIES,2021-03-19,2021,3,249812.55
AMERICAN VODKAS,2021-09-21,2021,9,249564.58
AMERICAN VODKAS,2022-11-09,2022,11,249539.51
AMERICAN VODKAS,2023-06-12,2023,6,249407.85
CANADIAN WHISKIES,2022-12-08,2022,12,249314.78
AMERICAN VODKAS,2021-11-05,2021,11,249259.97
IRISH WHISKIES,2022-02-14,2022,2,249162.61
AMERICAN VODKAS,2022-10-27,2022,10,248748.4
AMERICAN VODKAS,2022-10-05,2022,10,248424.13
AMERICAN VODKAS,2022-07-19,2022,7,248388.84
AMERICAN VODKAS,2021-05-12,2021,5,248158.88
CANADIAN WHISKIES,2023-12-11,2023,12,248133.56
AMERICAN VODKAS,2021-10-15,2021,10,248085.56
STRAIGHT BOURBON WHISKIES,2021-10-27,2021,10,248062.42
100% AGAVE TEQUILA,2023-05-04,2023,5,247518.62
AMERICAN VODKAS,2023-11-24,2023,11,247493.17
AMERICAN VODKAS,2023-05-16,2023,5,247457.77
CANADIAN WHISKIES,2022-02-04,2022,2,247456.13
CANADIAN WHISKIES,2023-12-15,2023,12,247425.63
AMERICAN VODKAS,2021-09-29,2021,9,247101.7
STRAIGHT BOURBON WHISKIES,2021-10-04,2021,10,247068.38
CANADIAN WHISKIES,2021-12-24,2021,12,247033.9
AMERICAN VODKAS,2022-11-02,2022,11,246949.09
AMERICAN VODKAS,2022-06-21,2022,6,246692.75
AMERICAN VODKAS,2021-12-09,2021,12,246611.44
AMERICAN VODKAS,2022-10-17,2022,10,246562.09
AMERICAN VODKAS,2022-06-23,2022,6,246447.59
AMERICAN VODKAS,2022-12-13,2022,12,246293.15
STRAIGHT BOURBON WHISKIES,2022-12-07,2022,12,246136.08
AMERICAN VODKAS,2022-09-26,2022,9,246071.86
AMERICAN VODKAS,2022-09-14,2022,9,246042.79
AMERICAN VODKAS,2023-06-13,2023,6,245988.35
STRAIGHT BOURBON WHISKIES,2023-08-31,2023,8,245845.84
AMERICAN VODKAS,2021-10-14,2021,10,245756.98
SPICED RUM,2023-11-14,2023,11,245726.2
AMERICAN VODKAS,2022-09-20,2022,9,245160.76
CANADIAN WHISKIES,2023-05-16,2023,5,245097.55
CANADIAN WHISKIES,2022-09-01,2022,9,245069.81
AMERICAN VODKAS,2021-11-22,2021,11,245049.53
AMERICAN VODKAS,2022-02-02,2022,2,245031.27
CANADIAN WHISKIES,2023-12-13,2023,12,245021.33
